济宁裁缝大叔移动,#genre#
深圳卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226736/index.m3u8
东南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226278/index.m3u8
湖北卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225769/index.m3u8
广东卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226213/index.m3u8
广东卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226741/index.m3u8
黑龙江卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226148/index.m3u8
重庆卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226310/index.m3u8
贵州卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225777/index.m3u8
江西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226312/index.m3u8
河北卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225779/index.m3u8
海南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226325/index.m3u8
四川卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226327/index.m3u8
河南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226415/index.m3u8
甘肃卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226387/index.m3u8
吉林卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226507/index.m3u8
广西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226402/index.m3u8
云南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226525/index.m3u8
青海卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226400/index.m3u8
西藏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226749/index.m3u8
兵团卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226751/index.m3u8
新疆卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226756/index.m3u8
宁夏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226752/index.m3u8
山西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225954/index.m3u8
陕西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226035/index.m3u8
内蒙古卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226033/index.m3u8
厦门卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226505/index.m3u8
三沙卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226388/index.m3u8
农林卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226501/index.m3u8
延边卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226549/index.m3u8
中国交通,http://39.134.144.6:8089/PLTV/88888888/224/3221226295/index.m3u8
CETV1,http://39.134.144.6:8089/PLTV/88888888/224/3221226252/index.m3u8
CETV2,http://39.134.144.6:8089/PLTV/88888888/224/3221226390/index.m3u8
CETV4,http://39.134.144.6:8089/PLTV/88888888/224/3221226199/index.m3u8
嘉佳卡通,http://39.134.144.6:8089/PLTV/88888888/224/3221226503/index.m3u8
金鹰卡通,http://39.134.144.6:8089/PLTV/88888888/224/3221225947/index.m3u8
卡酷少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221225880/index.m3u8
优漫卡通,http://39.134.144.6:8089/PLTV/88888888/224/3221225970/index.m3u8
哈哈炫动,http://39.134.144.6:8089/PLTV/88888888/224/3221225972/index.m3u8
金鹰纪实,http://39.134.144.6:8089/PLTV/88888888/224/3221226386/index.m3u8
纪实科教,http://39.134.144.6:8089/PLTV/88888888/224/3221226601/index.m3u8
CHC影迷电影,http://39.134.144.6:8089/PLTV/88888888/224/3221226607/index.m3u8
CHC动作电影,http://39.134.144.6:8089/PLTV/88888888/224/3221226474/index.m3u8
CHC家庭影院,http://39.134.144.6:8089/PLTV/88888888/224/3221226472/index.m3u8
中学生,http://39.134.144.6:8089/PLTV/88888888/224/3221226753/index.m3u8
求索纪录,http://39.134.144.6:8089/PLTV/88888888/224/3221226727/index.m3u8
劲爆体育,http://39.134.144.6:8089/PLTV/88888888/224/3221226559/index.m3u8
精彩影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226442/index.m3u8
东方财经,http://39.134.144.6:8089/PLTV/88888888/224/3221226446/index.m3u8
法治天地,http://39.134.144.6:8089/PLTV/88888888/224/3221226448/index.m3u8
都市剧场,http://39.134.144.6:8089/PLTV/88888888/224/3221226450/index.m3u8
动漫秀场,http://39.134.144.6:8089/PLTV/88888888/224/3221226454/index.m3u8
游戏风云,http://39.134.144.6:8089/PLTV/88888888/224/3221226575/index.m3u8
乐游,http://39.134.144.6:8089/PLTV/88888888/224/3221226577/index.m3u8
生活时尚,http://39.134.144.6:8089/PLTV/88888888/224/3221226579/index.m3u8
金色学堂,http://39.134.144.6:8089/PLTV/88888888/224/3221226581/index.m3u8
武术世界,http://39.134.144.6:8089/PLTV/88888888/224/3221226444/index.m3u8
文物宝库,http://39.134.144.6:8089/PLTV/88888888/224/3221226571/index.m3u8
梨园频道,http://39.134.144.6:8089/PLTV/88888888/224/3221226573/index.m3u8
快乐垂钓,http://39.134.144.6:8089/PLTV/88888888/224/3221226440/index.m3u8
茶频道,http://39.134.144.6:8089/PLTV/88888888/224/3221226569/index.m3u8
汽摩频道,http://39.134.144.6:8089/PLTV/88888888/224/3221226597/index.m3u8
重温经典影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226398/index.m3u8
海洋频道,http://39.134.144.6:8089/PLTV/88888888/224/3221226406/index.m3u8
生态环境,http://39.134.144.6:8089/PLTV/88888888/224/3221226735/index.m3u8
中华特产,http://39.134.144.6:8089/PLTV/88888888/224/3221226432/index.m3u8
优优宝贝,http://39.134.144.6:8089/PLTV/88888888/224/3221226434/index.m3u8
四海钓鱼,http://39.134.144.6:8089/PLTV/88888888/224/3221226436/index.m3u8
书画频道,http://39.134.144.6:8089/PLTV/88888888/224/3221226438/index.m3u8
环球旅游,http://39.134.144.6:8089/PLTV/88888888/224/3221226563/index.m3u8
新动漫,http://39.134.144.6:8089/PLTV/88888888/224/3221226565/index.m3u8
先锋乒羽,http://39.134.144.6:8089/PLTV/88888888/224/3221226567/index.m3u8
财富天下,http://39.134.144.6:8089/PLTV/88888888/224/3221225959/index.m3u8
中国交通,http://39.134.144.6:8089/PLTV/88888888/224/3221226295/index.m3u8
CGTN英语,http://39.134.144.6:8089/PLTV/88888888/224/3221226320/index.m3u8
CGTN纪录,http://39.134.144.6:8089/PLTV/88888888/224/3221226401/index.m3u8
CGTN西班牙语,http://39.134.144.6:8089/PLTV/88888888/224/3221226324/index.m3u8
CGTN俄语,http://39.134.144.6:8089/PLTV/88888888/224/3221226326/index.m3u8
CGTN法语,http://39.134.144.6:8089/PLTV/88888888/224/3221226399/index.m3u8
CGTN阿拉伯语,http://39.134.144.6:8089/PLTV/88888888/224/3221226405/index.m3u8
山东教育,http://39.134.144.6:8089/PLTV/88888888/224/3221226049/index.m3u8
山东齐鲁,http://39.134.144.6:8089/PLTV/88888888/224/3221226045/index.m3u8
山东新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226077/index.m3u8
山东体育,http://39.134.144.6:8089/PLTV/88888888/224/3221226075/index.m3u8
山东体育,http://39.134.144.6:8089/PLTV/88888888/224/3221226585/index.m3u8
山东综艺,http://39.134.144.6:8089/PLTV/88888888/224/3221225855/index.m3u8
山东生活,http://39.134.144.6:8089/PLTV/88888888/224/3221225841/index.m3u8
山东文旅,http://39.134.144.6:8089/PLTV/88888888/224/3221225802/index.m3u8
山东农科,http://39.134.144.6:8089/PLTV/88888888/224/3221226018/index.m3u8
山东少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221226195/index.m3u8
济南新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226478/index.m3u8
济南新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226215/index.m3u8
济南都市,http://39.134.144.6:8089/PLTV/88888888/224/3221226029/index.m3u8
济南生活,http://39.134.144.6:8089/PLTV/88888888/224/3221225906/index.m3u8
济南娱乐,http://39.134.144.6:8089/PLTV/88888888/224/3221225992/index.m3u8
济南少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221225979/index.m3u8
济南鲁中,http://39.134.144.6:8089/PLTV/88888888/224/3221225910/index.m3u8
济南文旅体育,http://39.134.144.6:8089/PLTV/88888888/224/3221226067/index.m3u8
济南教育,http://39.134.144.6:8089/PLTV/88888888/224/3221225987/index.m3u8
长清新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221225865/index.m3u8
莱钢电视,http://39.134.144.6:8089/PLTV/88888888/224/3221226729/index.m3u8
历城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226537/index.m3u8
章丘综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226297/index.m3u8
济阳综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225936/index.m3u8
平阴综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226197/index.m3u8
商河综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226266/index.m3u8
济宁综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226333/index.m3u8
济宁公共,http://39.134.144.6:8089/PLTV/88888888/224/3221226331/index.m3u8
济宁生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226063/index.m3u8
济宁高新区,http://39.134.144.6:8089/PLTV/88888888/224/3221226521/index.m3u8
邹城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226034/index.m3u8
泗水新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226341/index.m3u8
梁山综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226321/index.m3u8
曲阜综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226209/index.m3u8
微山综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226250/index.m3u8
鱼台综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226422/index.m3u8
鱼台生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226541/index.m3u8
嘉祥综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225814/index.m3u8
兖州新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226140/index.m3u8
任城-1,http://39.134.144.6:8089/PLTV/88888888/224/3221226599/index.m3u8
任城-2,http://39.134.144.6:8089/PLTV/88888888/224/3221226466/index.m3u8
汶上综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226734/index.m3u8
聊城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225930/index.m3u8
聊城民生,http://39.134.144.6:8089/PLTV/88888888/224/3221225977/index.m3u8
莘县综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226136/index.m3u8
茌平综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226138/index.m3u8
冠县综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226095/index.m3u8
东阿综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226378/index.m3u8
临清综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226533/index.m3u8
菏泽新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221225980/index.m3u8
菏泽生活,http://39.134.144.6:8089/PLTV/88888888/224/3221225860/index.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
鄄城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226316/index.m3u8
郓城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226099/index.m3u8
巨野新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226134/index.m3u8
定陶综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226176/index.m3u8
单县综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226264/index.m3u8
东明综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226178/index.m3u8
滨州新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225978/index.m3u8
滨州民生,http://39.134.144.6:8089/PLTV/88888888/224/3221225975/index.m3u8
阳信新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226085/index.m3u8
邹平综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226152/index.m3u8
沾化综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226012/index.m3u8
无棣综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225830/index.m3u8
惠民综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226603/index.m3u8
博兴综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226410/index.m3u8
临沂综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225984/index.m3u8
临沂经济,http://39.134.144.6:8089/PLTV/88888888/224/3221225914/index.m3u8
临沂公共,http://39.134.144.6:8089/PLTV/88888888/224/3221225982/index.m3u8
临沭综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226495/index.m3u8
蒙阴综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226142/index.m3u8
莒南综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226376/index.m3u8
兰陵综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225938/index.m3u8
兰陵公共,http://39.134.144.6:8089/PLTV/88888888/224/3221226384/index.m3u8
沂南综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226509/index.m3u8
沂南红色影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226392/index.m3u8
沂水综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226394/index.m3u8
沂水生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226517/index.m3u8
河东综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226426/index.m3u8
东营新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225935/index.m3u8
东营公共,http://39.134.144.6:8089/PLTV/88888888/224/3221225908/index.m3u8
广饶综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226046/index.m3u8
枣庄新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226089/index.m3u8
枣庄经济生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226030/index.m3u8
淄博新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221225986/index.m3u8
淄博影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226014/index.m3u8
淄博民生,http://39.134.144.6:8089/PLTV/88888888/224/3221225985/index.m3u8
淄博文旅,http://39.134.144.6:8089/PLTV/88888888/224/3221226061/index.m3u8
淄川新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226539/index.m3u8
张店综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226551/index.m3u8
高青综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225905/index.m3u8
桓台综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225993/index.m3u8
沂源综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225916/index.m3u8
周村新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226476/index.m3u8
泰安综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225720/index.m3u8
泰安经济生活,http://39.134.144.6:8089/PLTV/88888888/224/3221225990/index.m3u8
肥城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226091/index.m3u8
新泰综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226011/index.m3u8
新泰乡村,http://39.134.144.6:8089/PLTV/88888888/224/3221226180/index.m3u8
宁阳综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226244/index.m3u8
宁阳影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226315/index.m3u8
东平综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225864/index.m3u8
岱岳综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226462/index.m3u8
泰山综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226605/index.m3u8
德州综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226065/index.m3u8
德州生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226069/index.m3u8
齐河综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226217/index.m3u8
禹城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226156/index.m3u8
禹城综艺,http://39.134.144.6:8089/PLTV/88888888/224/3221226158/index.m3u8
武城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226225/index.m3u8
武城综艺,http://39.134.144.6:8089/PLTV/88888888/224/3221226154/index.m3u8
平原综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226174/index.m3u8
夏津综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226182/index.m3u8
夏津公共,http://39.134.144.6:8089/PLTV/88888888/224/3221226255/index.m3u8
宁津综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226443/index.m3u8
陵城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226477/index.m3u8
临邑综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226535/index.m3u8
潍坊新闻综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000215/index.m3u8
潍坊经济生活,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000216/index.m3u8
潍坊影视综艺,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000217/index.m3u8
潍坊科教文旅,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000218/index.m3u8
潍坊高新区,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00001106/index.m3u8
奎文综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001027/index.m3u8
昌邑综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001083/index.m3u8
昌乐综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001033/index.m3u8
高密综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00001089/index.m3u8
临朐综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001085/index.m3u8
青州综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001042/index.m3u8
青州文化旅游,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001057/index.m3u8
安丘综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00001015/index.m3u8
寿光综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001000/index.m3u8
寿光蔬菜,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001045/index.m3u8
诸城综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001004/index.m3u8
青岛新闻综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000500/index.m3u8
青岛生活,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000501/index.m3u8
青岛影视,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000502/index.m3u8
青岛财经,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000503/index.m3u8
青岛教育,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000505/index.m3u8
崂山综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00001022/index.m3u8
黄岛综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00001087/index.m3u8
胶州综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00001074/index.m3u8
即墨综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001080/index.m3u8
莱西综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001067/index.m3u8
平度综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001054/index.m3u8
烟台新闻综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000283/index.m3u8
牟平新闻,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001076/index.m3u8
牟平生活,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001077/index.m3u8
栖霞综合,http://ucdn-zte6.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001055/index.m3u8
